,Character,Traditional,HSK,FrequencyRank,Pinyin 1,Pinyin 2,Definition,Hanzi,Zein.se definition,Example words,Formatted Words
2029,畜,,6.0,2030,chù, xù,"livestock, domestic animals",畜," [xù] (=畜牧 xùmù) raise (domestiv animals)<BR>[chù] 畜生 chùsheng beas<BR><BR>rank = 2403
",畜牧; 畜生,<span class=examplehanzi>畜</span>牧; <span class=examplehanzi>畜</span>生
2030,咽,咽 嚥  ,6.0,2031,yān," yàn, yè",throat; pharynx,咽," [yàn] to swallow<BR>[yān] pharynx<BR>[yè] 呜咽 wūyè sob, whimpe<BR><BR>rank = 1935
",呜咽,呜<span class=examplehanzi>咽</span>
2031,披,,5.0,2032,pī,,wear; split; crack,披," [pī] drape over one's shoulders, ope<BR><BR>rank = 1980
",,
2032,辅,輔   ,5.0,2033,fǔ,,cheek bone; protective; assist,辅," [fǔ] assist, complement; 辅导 fǔdǎo coach, tutor; 辅助 fǔzhù assist, auxiliary; 辅音 fǔyīn consonan<BR><BR>rank = 2460
",辅导; 辅助; 辅音,<span class=examplehanzi>辅</span>导; <span class=examplehanzi>辅</span>助; <span class=examplehanzi>辅</span>音
2033,勾,,6.0,2034,gōu, gòu,"hook, join, connect; entice",勾," [gōu] cross out, evoke, gang up with<BR>[gòu] 勾当 gòudang shady deal/busines<BR><BR>rank = 1928
",勾当,<span class=examplehanzi>勾</span>当
2034,盆,,5.0,2035,pén,,"basin, tub, pot, bowl",盆," [pén] basin, tub, pot; 盆地 péndì basin (of land<BR><BR>rank = 1901
",盆地,<span class=examplehanzi>盆</span>地
2035,疆,,6.0,2036,jiāng," qiáng, jiàng","boundary, border, frontier",疆," [jiāng] 边疆 biānjiāng border region; 新疆 Xīnjiān<BR><BR>rank = 1921
",边疆; 新疆,边<span class=examplehanzi>疆</span>; 新<span class=examplehanzi>疆</span>
2036,赌,賭   ,6.0,2037,dǔ,,"bet, gamble, wager; compete",赌," [dǔ] gamble, be<BR><BR>rank = 1944
",,
2037,塑,,4.0,2038,sù,,"model in clay, sculpt; plastics",塑," [sù] model, mould; 塑料 sùliào plastic; 塑像 sùxiàng statu<BR><BR>rank = 2037
",塑料; 塑像,<span class=examplehanzi>塑</span>料; <span class=examplehanzi>塑</span>像
2038,畏,,6.0,2039,wèi," wēi, wěi","fear, dread, awe, reverence",畏," [wèi] fear, respect; 畏惧 wèijù dread; 畏缩 wèisuō flinc<BR><BR>rank = 2208
",畏惧; 畏缩,<span class=examplehanzi>畏</span>惧; <span class=examplehanzi>畏</span>缩
2039,吵,,4.0,2040,chǎo,,"argue, dispute; disturb, annoy",吵," [chǎo] make noise<BR>[chāo] 吵吵 chāochao make nois<BR><BR>rank = 1797
",吵吵,<span class=examplehanzi>吵</span><span class=examplehanzi>吵</span>
2040,囊,,,2041,náng,,"bag, purse, sack; put in bag",囊," [náng] bag; 鼓鼓囊囊 gǔgunāngnāng bulging<BR>[nāng] 囊膪 nāngchuài pork near the pig's nipple<BR><BR>rank = 2312
",鼓鼓囊囊; 囊膪,鼓鼓<span class=examplehanzi>囊</span><span class=examplehanzi>囊</span>; <span class=examplehanzi>囊</span>膪
2041,嗯,,6.0,2042,,,final particle,嗯," [��g] What?, Huh?<BR>[��g] How come?, Why?<BR>[?g] O.K., Agreed<BR><BR>rank = 2192
",,
2042,泊,,6.0,2043,bó," pó, pō, pò",anchor vessel; lie at anchor,泊," [bó] at anchor, moor, berth<BR>[pō] 湖泊 húpō lake<BR><BR>rank = 2159
",湖泊,湖<span class=examplehanzi>泊</span>
2043,肺,,5.0,2044,fèi, pèi,lungs,肺," [fèi] (=肺脏 fèizàng) lun<BR><BR>rank = 2573
",肺脏,<span class=examplehanzi>肺</span>脏
2044,骤,驟   ,5.0,2045,zòu, zhòu,procedure; gallop; sudden(ly),骤," [zhòu] gallop; 步骤 bùzhòu procedure; 骤然 zhòurán suddenl<BR><BR>rank = 2529
",步骤; 骤然,步<span class=examplehanzi>骤</span>; <span class=examplehanzi>骤</span>然
2045,缠,纏   ,6.0,2046,chán,,"wrap, wind around; tie, bind",缠," [chán] to wind, tie up, tangle, bothe<BR><BR>rank = 1821
",,
2046,冈,,,2047,gāng,,ridge or crest of hill,冈," [gāng] ridge of a hil<BR><BR>rank = 2572
",,
2047,羞,,4.0,2048,xiū,,"disgrace, shame; ashamed; shy",羞," [xiū] (=羞耻 xiūchǐ) shame, shy; 羞愧 xiūkuì feel ashame<BR><BR>rank = 1705
",羞耻; 羞愧,<span class=examplehanzi>羞</span>耻; <span class=examplehanzi>羞</span>愧
2048,瞪,,6.0,2049,dèng,,stare at,瞪," [dèng] open (one's eyes) wide, stare, glare; 瞪眼 dèngyǎn stare, stare dow<BR><BR>rank = 2009
",瞪眼,<span class=examplehanzi>瞪</span>眼
2049,吊,吊 弔  ,6.0,2050,diào,,"condole, mourn, pity; hang",吊," [diào] hang, lift up, let down with rope, crane, mourn, revok<BR><BR>rank = 1988
",,
2050,贾,,,2051,jiǎ," gǔ, jià","surname; merchant; buy, trade",贾," [gǔ] merchant<BR>[Jiǎ] &LT;family name&GT<BR><BR>rank = 2064
",,
2051,漏,,5.0,2052,lòu, lóu,"leak, drip; funnel; hour glass",漏," [lòu] (=漏水 lòushuǐ) leak ou<BR><BR>rank = 2077
",漏水,<span class=examplehanzi>漏</span>水
2052,斑,,6.0,2053,bān,,"mottled, striped, freckle",斑," [bān] spot, speck, stripe; 斑马 bānmǎ zebr<BR><BR>rank = 2173
",斑马,<span class=examplehanzi>斑</span>马
2053,涛,濤   ,6.0,2054,tāo, táo,large waves,涛," [tāo] great wave<BR><BR>rank = 1673
",,
2054,悠,,5.0,2055,yōu,,"long, far, remote, distant; liesurely",悠," [yōu] long, drawn-out, leisurely; 悠久 yōujiǔ age-ol<BR><BR>rank = 1798
",悠久,<span class=examplehanzi>悠</span>久
2055,鹿,,,2056,lù, lǘ,deer; surname; KangXi radical 198,鹿," [lù] dee<BR><BR>rank = 2026
",,
2056,俘,,6.0,2057,fú,,prisoner of war; take as prisoner,俘," [fú] capture, (=俘虏 fúlǔ) prisoner, captiv<BR><BR>rank = 2204
",俘虏,<span class=examplehanzi>俘</span>虏
